iter	Passed	Remaining
0	4	4087
1	6	3371
2	8	2957
3	11	2780
4	13	2675
5	15	2636
6	18	2656
7	21	2653
8	24	2658
9	26	2630
10	28	2572
11	30	2550
12	33	2553
13	35	2483
14	37	2449
15	39	2446
16	41	2418
17	43	2391
18	45	2359
19	47	2322
20	49	2293
21	51	2289
22	53	2272
23	55	2244
24	57	2223
25	59	2223
26	61	2219
27	63	2219
28	66	2213
29	68	2204
30	69	2185
31	72	2186
32	74	2189
33	77	2198
34	79	2199
35	81	2194
36	84	2189
37	85	2172
38	87	2156
39	89	2139
40	91	2130
41	93	2130
42	95	2125
43	97	2118
44	99	2115
45	101	2113
46	104	2117
47	106	2116
48	108	2114
49	111	2110
50	112	2097
51	114	2085
52	116	2078
53	118	2069
54	119	2058
55	121	2046
56	123	2040
57	125	2032
58	126	2020
59	128	2010
60	130	2003
61	131	1994
62	133	1985
63	135	1978
64	137	1972
65	139	1969
66	140	1960
67	142	1956
68	144	1953
69	146	1949
70	148	1944
71	150	1938
72	152	1935
73	154	1928
74	155	1923
75	157	1917
76	159	1910
77	161	1903
78	162	1898
79	164	1894
80	166	1887
81	168	1883
82	169	1876
83	172	1877
84	174	1878
85	176	1872
86	178	1868
87	179	1862
88	181	1859
89	183	1853
90	184	1847
91	186	1841
92	188	1838
93	190	1835
94	192	1836
95	195	1837
96	196	1833
97	199	1833
98	201	1837
99	204	1840
100	206	1841
101	209	1841
102	211	1839
103	213	1836
104	215	1832
105	216	1828
106	219	1828
107	221	1828
108	223	1827
109	225	1827
110	228	1827
111	230	1824
112	232	1823
113	234	1823
114	237	1824
115	239	1827
116	242	1826
117	244	1827
118	247	1829
119	249	1829
120	252	1837
121	255	1838
122	258	1842
123	260	1843
124	263	1843
125	266	1845
126	268	1845
127	270	1844
128	273	1845
129	275	1845
130	278	1848
131	281	1847
132	283	1846
133	286	1851
134	288	1851
135	291	1851
136	293	1851
137	297	1856
138	300	1859
139	303	1862
140	306	1866
141	308	1866
142	312	1870
143	314	1869
144	316	1868
145	319	1870
146	322	1869
147	325	1871
148	327	1869
149	329	1868
150	332	1868
151	334	1867
152	337	1867
153	340	1869
154	342	1868
155	345	1870
156	348	1870
157	350	1869
158	353	1867
159	355	1865
160	357	1864
161	360	1863
162	362	1860
163	364	1859
164	367	1858
165	369	1857
166	372	1857
167	374	1855
168	377	1854
169	379	1853
170	382	1851
171	384	1851
172	387	1850
173	389	1849
174	391	1847
175	394	1846
176	397	1845
177	399	1845
178	402	1847
179	405	1848
180	408	1846
181	410	1843
182	412	1842
183	414	1840
184	417	1837
185	419	1836
186	421	1834
187	424	1831
188	426	1829
189	428	1826
190	430	1824
191	433	1823
192	435	1821
193	438	1819
194	440	1817
195	442	1815
196	444	1813
197	446	1810
198	449	1808
199	451	1806
200	453	1804
201	455	1801
202	458	1799
203	460	1797
204	462	1795
205	465	1793
206	467	1790
207	469	1788
208	472	1786
209	474	1785
210	476	1782
211	478	1780
212	481	1777
213	483	1774
214	485	1773
215	488	1771
216	490	1769
217	492	1768
218	495	1766
219	498	1766
220	501	1766
221	503	1764
222	506	1763
223	508	1761
224	510	1758
225	513	1757
226	515	1754
227	517	1751
228	519	1749
229	521	1747
230	524	1745
231	526	1743
232	528	1740
233	530	1738
234	533	1736
235	535	1733
236	537	1731
237	540	1730
238	542	1727
239	544	1725
240	547	1723
241	549	1720
242	551	1719
243	554	1716
244	556	1714
245	558	1713
246	561	1711
247	563	1708
248	566	1707
249	568	1704
250	570	1701
251	572	1700
252	574	1697
253	577	1695
254	579	1693
255	581	1691
256	584	1688
257	586	1687
258	589	1686
259	591	1684
260	594	1682
261	596	1679
262	598	1678
263	601	1676
264	603	1673
265	605	1672
266	608	1670
267	610	1668
268	613	1666
269	615	1664
270	617	1661
271	620	1660
272	622	1657
273	624	1655
274	627	1653
275	629	1651
276	631	1649
277	634	1646
278	636	1644
279	638	1642
280	641	1640
281	643	1637
282	645	1636
283	648	1634
284	650	1631
285	652	1629
286	655	1627
287	657	1625
288	659	1623
289	662	1621
290	664	1618
291	666	1616
292	668	1614
293	670	1611
294	673	1609
295	675	1606
296	677	1604
297	680	1603
298	683	1601
299	685	1599
300	687	1597
301	689	1594
302	692	1592
303	694	1591
304	697	1588
305	699	1587
306	701	1584
307	704	1582
308	706	1580
309	709	1578
310	711	1576
311	713	1574
312	715	1571
313	717	1568
314	720	1566
315	722	1563
316	724	1561
317	727	1559
318	729	1556
319	731	1554
320	734	1552
321	736	1550
322	738	1548
323	741	1546
324	743	1544
325	746	1542
326	748	1539
327	750	1537
328	752	1535
329	754	1532
330	757	1530
331	759	1528
332	761	1525
333	764	1523
334	766	1521
335	768	1519
336	771	1517
337	773	1515
338	776	1513
339	778	1510
340	781	1509
341	783	1507
342	786	1505
343	788	1503
344	790	1501
345	793	1499
346	795	1496
347	797	1494
348	800	1492
349	802	1490
350	804	1487
351	807	1485
352	809	1484
353	812	1482
354	814	1480
355	817	1478
356	819	1476
357	821	1473
358	823	1470
359	826	1468
360	828	1466
361	830	1464
362	833	1462
363	835	1459
364	837	1457
365	840	1455
366	842	1453
367	844	1450
368	847	1448
369	849	1446
370	851	1444
371	854	1442
372	856	1439
373	859	1437
374	861	1435
375	863	1433
376	865	1430
377	868	1428
378	870	1426
379	872	1423
380	875	1422
381	877	1420
382	880	1418
383	882	1415
384	884	1413
385	887	1411
386	889	1409
387	891	1406
388	894	1404
389	896	1402
390	899	1400
391	901	1398
392	903	1395
393	906	1393
394	909	1392
395	911	1389
396	913	1387
397	915	1385
398	918	1383
399	920	1381
400	922	1378
401	925	1376
402	927	1374
403	929	1371
404	932	1369
405	934	1367
406	936	1364
407	938	1362
408	941	1360
409	943	1357
410	945	1355
411	948	1353
412	950	1350
413	953	1348
414	955	1346
415	957	1343
416	959	1341
417	962	1340
418	964	1338
419	968	1337
420	970	1334
421	973	1333
422	976	1332
423	979	1331
424	982	1328
425	984	1326
426	987	1324
427	989	1322
428	991	1320
429	994	1317
430	996	1315
431	999	1313
432	1001	1311
433	1003	1308
434	1005	1306
435	1008	1304
436	1010	1302
437	1013	1300
438	1015	1298
439	1018	1295
440	1020	1293
441	1022	1291
442	1024	1288
443	1027	1286
444	1029	1284
445	1032	1281
446	1034	1279
447	1036	1277
448	1038	1274
449	1041	1272
450	1043	1269
451	1045	1267
452	1048	1265
453	1050	1263
454	1052	1260
455	1054	1258
456	1057	1255
457	1059	1253
458	1061	1251
459	1063	1248
460	1066	1246
461	1069	1244
462	1071	1243
